Team,Team_Name
4000,Core Fusion
4000,Core Fusion
4001,Limited Edition
4002,Tigertronics
4008,Bronc Botz - Orange
4017,Robopandas
4022,Harmony Tigers
4024,Academ of Science and Design
4024,Spartan
4029,2 Bits and a Byte 
4049,Masai Lions
4049,Masai Lions
4054,Exploding Radioactive Gearheads
4054,ERG
4055,Troll Bot
4064,Partial Madness
4064,Partial Madness
4076,RoBUGS
4076,RoBugs
4077,MASH
4077,MASH
4077,M.A.S.H.
4081,The Droids
4082,RoboSpartans
4082,RoboSpartans
4084,Brooke Point Robots
4084,Brooke Point Robotics
4086,ORC
4087,Midwest Lucky Charms
4092,Nanites
4092,Nanites
4095,Bulldogs
4096,"T-10 (""T minus Ten"") "
4097,PacBots
4097,PacBots
4100,DarBots 1
4101,Darbots 2
4102,CHS Cougars
4102,CHS Cougars
4105,Teal Tornadoes
4106,Supposable Thumbs
4106,Supposable Thumbs
4107,MohonBots
4108,Logical Hypotheses
4108,Logical Hypotheses
4108,Logical Hypothesis 
4112,Warriors
4112,Warriors
4115,Men in Kilts
4115,Men in Kilts
4116,Scrapyard Scots
4117,RAM
4119,Brain Nuggets
4127,BSOD Blue Screen of Death
4127,BSOD Blue Screen of Death
4127,BSOD
4128,UltraViolet
4133,Fusion
4134,Wrench in the Works
4135,Red Alliance
4137,Islandbots
4138,K-High Tech
4138,K-HiTech
4140,Fish in the Boat
4141,Spear and Gears
4141,Spears and Gears
4143,Magnum formerly Blue Steel
4143,Magnum formualy blue steel
4143,Magnum
4144,Engineer Imagineer
4145,Airheads
4147,Super Cell
4147,SuperCell
4149,Terabytes
4149,Terabytes
4150,Dark Matter
4155,Centurion Rougher
4156,Wildcat Robotics
4157,Flightless Birds
4160,Team Velcro
4162,Combustible Lemons
4162,QBH
4162,Qualified Bot Handlers
4162,Qualified Bot Handlers
4163,Osceola Pre-Engineering
4163,Robo Warriors
4163,RoboWarriors
4164,Steel Braves
4165,Titanium Braves
4166,Iron Braves
4169,Robo Mounties
4170,Techno Crusaders
4170,Techno Crusaders
4170,TechnoCrusaders
4173,Bionic Bulldogs
4174,Atomic Theory
4175,Geek Squad
4176,The Architechs 
4176,The Architechs
4177,Highland Robotics
4183,IceBreakers
4185,Silver Soldiers
4185,Silver Soldiers
4187,The Byte Riders
4192,West County Robotics
4193,Those Guys
4194,Neutrality
4199,Radioactive Robots
4200,X2 Factor
4211,The Bombers
4211,The Bombers
4215,Hypnotic Robotics
4215,Hypnotic Robotics
